"Timestamp","Full Name","Email","What program are you in?","What year are you in?","Do you want to be matched with someone in the same year as you?","Books or movies? ","Favourite movie genre?","Most of my Spotify playlist is:","Would you get a tattoo?","What would you do if someone liked your best friend, but you promised not to tell?","Where do you put your clothes when you undress for bed?","Your biggest interests are:","Favourite sport:","Go to app:","The best season is:","Are you a night owl or early bird?","Break the ice with a message to your matches!","How can your matches contact you?"
"2021/07/18 2:12:29 AM AST","AAAA","AAAA@gmail.com","Cardiovascular Perfusion","1","Yes","Books","Horror/Thriller","Pop","Maybe","Tell them anyway","Where they belong","Computers and video games","Hockey","Facebook","Winter","Night owl","BLAH","BLAH"
"2021/07/18 2:12:33 AM AST","Beepbeep","poyab90965@ovooovo.com","Chiropody","1","No","Books","Action","Pop","Only temporary ones","Hint at it","Where they belong","Fashion and shopping","I don't like sports!","Instagram","Summer","Night owl","What fruit are you","email"
"2021/07/18 2:13:02 AM AST","Oahc","thisischaoslegitemail@gmail.com","Genetics Technology","2","Yes","Books","Action","K-Pop","Only temporary ones","Set them up","Onto a chair or dresser","Computers and video games","Track","Discord","Winter","Night owl","i am a human and not a robot","pigeon post"
"2021/07/18 2:15:24 AM AST","Kayli Chen","20kc9@michener.ca","Radiation Therapy","2","No (I don't care)","Movies","Romance","Indie and Alternative Rock","Maybe","Keep it to yourself","Where they belong","Computers and video games","Basketball","Instagram","Fall","Night owl","Hi, now say it back!","Instagram: @Kaylichenn"
"2021/07/18 2:15:39 AM AST","CCCC","CCCC@gmail.com","Cardiovascular Perfusion","1","No (I don't care)","Books","Horror/Thriller","Pop","Maybe","Tell them anyway","Where they belong","Computers and video games","Hockey","Facebook","Winter","Night owl","BLAH","BLAH"
"2021/07/18 2:16:51 AM AST","BBBB","BBBB@gmail.com","Cardiovascular Perfusion","1","Yes","Books","Horror/Thriller","Pop","Maybe","Tell them anyway","Where they belong","Computers and video games","Hockey","Facebook","Winter","Night owl","werfs","dfgdfgfegd"
"2021/07/18 2:17:18 AM AST","DDDD","DDDD@gmail.com","Cardiovascular Perfusion","2","No (I don't care)","Books","Horror/Thriller","Pop","Maybe","Tell them anyway","Where they belong","Computers and video games","Hockey","Facebook","Winter","Night owl","asdsasdg","dgdfggfdg"
"2021/07/18 2:17:53 AM AST","EEEE","EEEE@gmail.com","Chiropody","1","No (I don't care)","Movies","Action","Hip-hop and Rap","Yes","Hint at it","Onto a chair or dresser","Fashion and shopping","Basketball","Twitter","Spring","Early bird","sadasd","dsfdsgf"
"2021/07/18 2:18:24 AM AST","FFFF","FFFF@gmail.com","Cytology","3","Yes","Books","Horror/Thriller","Pop","Maybe","Tell them anyway","Where they belong","Computers and video games","Hockey","Facebook","Winter","Night owl","sadasdsaf","dsgfsdgdf"
"2021/07/18 2:19:34 AM AST","GGGG","GGGG@gmail.com","Cardiovascular Perfusion","1","Yes","Books","Horror/Thriller","Pop","Maybe","Tell them anyway","Where they belong","Computers and video games","Hockey","Facebook","Winter","Night owl","fasdgfg","fgdfgfdsgsd"
